From	To	Species	Gene Name
NM_201572	CACNB2	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)
NM_201566	SLC16A13	Homo sapiens	solute carrier family 16 member 13(SLC16A13)
NM_139266	STAT1	Homo sapiens	signal transducer and activator of transcription 1(STAT1)
NM_201567	CDC25A	Homo sapiens	cell division cycle 25A(CDC25A)
NM_139265	EHD4	Homo sapiens	EH domain containing 4(EHD4)
NM_201568	SMG7	Homo sapiens	SMG7 nonsense mediated mRNA decay factor(SMG7)
NM_201569	SMG7	Homo sapiens	SMG7 nonsense mediated mRNA decay factor(SMG7)
NM_213566	DFFA	Homo sapiens	DNA fragmentation factor subunit alpha(DFFA)
NM_178830	C19orf47	Homo sapiens	chromosome 19 open reading frame 47(C19orf47)
NM_152244	SNX11	Homo sapiens	sorting nexin 11(SNX11)
NM_152245	CPT1B	Homo sapiens	carnitine palmitoyltransferase 1B(CPT1B)
NM_152246	CPT1B	Homo sapiens	carnitine palmitoyltransferase 1B(CPT1B)
NM_213568	SLC39A3	Homo sapiens	solute carrier family 39 member 3(SLC39A3)
NM_178834	LAYN	Homo sapiens	layilin(LAYN)
NM_152240	ZMAT3	Homo sapiens	zinc finger matrin-type 3(ZMAT3)
NM_178833	SLC9B2	Homo sapiens	solute carrier family 9 member B2(SLC9B2)
NM_213569	NEBL	Homo sapiens	nebulette(NEBL)
NM_178832	MORN4	Homo sapiens	MORN repeat containing 4(MORN4)
NM_152243	CDC42EP1	Homo sapiens	CDC42 effector protein 1(CDC42EP1)
NM_178831	CASTOR3P	Homo sapiens	CASTOR family member 3, pseudogene(CASTOR3P)
NM_178837	DNAAF3	Homo sapiens	dynein axonemal assembly factor 3(DNAAF3)
NM_178836	PLD6	Homo sapiens	phospholipase D family member 6(PLD6)
NM_178835	ZNF827	Homo sapiens	zinc finger protein 827(ZNF827)
NM_178839	LRRTM1	Homo sapiens	leucine rich repeat transmembrane neuronal 1(LRRTM1)
NM_139277	KLK7	Homo sapiens	kallikrein related peptidase 7(KLK7)
NM_139276	STAT3	Homo sapiens	signal transducer and activator of transcription 3(STAT3)
NM_201575	SEZ6L2	Homo sapiens	seizure related 6 homolog like 2(SEZ6L2)
NM_139279	MCFD2	Homo sapiens	multiple coagulation factor deficiency 2, ER cargo receptor complex subunit(MCFD2)
NM_139278	LGI3	Homo sapiens	leucine rich repeat LGI family member 3(LGI3)
NM_001008660	PICALM	Homo sapiens	phosphatidylinositol binding clathrin assembly protein(PICALM)
NM_001008661	KYAT3	Homo sapiens	kynurenine aminotransferase 3(KYAT3)
NM_001008662	KYAT3	Homo sapiens	kynurenine aminotransferase 3(KYAT3)
NM_139273	CARS1	Homo sapiens	cysteinyl-tRNA synthetase 1(CARS1)
NM_001008656	TCOF1	Homo sapiens	treacle ribosome biogenesis factor 1(TCOF1)
NM_178841	RNF166	Homo sapiens	ring finger protein 166(RNF166)
NM_152233	SNX6	Homo sapiens	sorting nexin 6(SNX6)
NM_001008657	TCOF1	Homo sapiens	treacle ribosome biogenesis factor 1(TCOF1)
NM_178840	SRARP	Homo sapiens	steroid receptor associated and regulated protein(SRARP)
NM_152236	GAS2L1	Homo sapiens	growth arrest specific 2 like 1(GAS2L1)
NM_178844	NLRC3	Homo sapiens	NLR family CARD domain containing 3(NLRC3)
NM_152230	IPMK	Homo sapiens	inositol polyphosphate multikinase(IPMK)
NM_152231	FBXO34	Homo sapiens	F-box protein 34(FBXO34)
NM_178842	CERS3	Homo sapiens	ceramide synthase 3(CERS3)
NM_152232	TAS1R2	Homo sapiens	taste 1 receptor member 2(TAS1R2)
NM_201591	GPM6A	Homo sapiens	glycoprotein M6A(GPM6A)
NM_178849	HNF4A	Homo sapiens	hepatocyte nuclear factor 4 alpha(HNF4A)
NM_201592	GPM6A	Homo sapiens	glycoprotein M6A(GPM6A)
NM_201590	CACNB2	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)
NM_201595	GTF2A1	Homo sapiens	general transcription factor IIA subunit 1(GTF2A1)
NM_152237	GAS2L1	Homo sapiens	growth arrest specific 2 like 1(GAS2L1)
NM_201596	CACNB2	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)
NM_152238	SNX7	Homo sapiens	sorting nexin 7(SNX7)
NM_201593	CACNB2	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)
NM_201589	MAFA	Homo sapiens	MAF bZIP transcription factor A(MAFA)
NM_139286	CDC26	Homo sapiens	cell division cycle 26(CDC26)
NM_139285	GAS2L2	Homo sapiens	growth arrest specific 2 like 2(GAS2L2)
NM_139280	ORMDL3	Homo sapiens	ORMDL sphingolipid biosynthesis regulator 3(ORMDL3)
NM_213560	PKN1	Homo sapiens	protein kinase N1(PKN1)
NM_139284	LGI4	Homo sapiens	leucine rich repeat LGI family member 4(LGI4)
NM_139283	PPTC7	Homo sapiens	protein phosphatase targeting COQ7(PPTC7)
NM_139282	RHOXF1	Homo sapiens	Rhox homeobox family member 1(RHOXF1)
NM_139281	WDR36	Homo sapiens	WD repeat domain 36(WDR36)
NM_178812	MTDH	Homo sapiens	metadherin(MTDH)
NM_139208	MASP2	Homo sapiens	MBL associated serine protease 2(MASP2)
NM_139207	NAP1L1	Homo sapiens	nucleosome assembly protein 1 like 1(NAP1L1)
NM_178815	ARL5B	Homo sapiens	ARF like GTPase 5B(ARL5B)
NM_178813	AKAP14	Homo sapiens	A-kinase anchoring protein 14(AKAP14)
NM_178819	GPAT4	Homo sapiens	glycerol-3-phosphate acyltransferase 4(GPAT4)
NM_178818	CMTM4	Homo sapiens	CKLF like MARVEL transmembrane domain containing 4(CMTM4)
NM_139209	GRK7	Homo sapiens	G protein-coupled receptor kinase 7(GRK7)
NM_178817	MRAP	Homo sapiens	melanocortin 2 receptor accessory protein(MRAP)
NM_139211	HOPX	Homo sapiens	HOP homeobox(HOPX)
NM_139215	TAF15	Homo sapiens	TATA-box binding protein associated factor 15(TAF15)
NM_139214	TGIF2LY	Homo sapiens	TGFB induced factor homeobox 2 like Y-linked(TGIF2LY)
NM_139212	HOPX	Homo sapiens	HOP homeobox(HOPX)
NM_178823	CFAP206	Homo sapiens	cilia and flagella associated protein 206(CFAP206)
NM_178822	IGSF10	Homo sapiens	immunoglobulin superfamily member 10(IGSF10)
NM_178821	DAW1	Homo sapiens	dynein assembly factor with WD repeats 1(DAW1)
NM_178820	FBXO27	Homo sapiens	F-box protein 27(FBXO27)
NM_178827	IQUB	Homo sapiens	IQ motif and ubiquitin domain containing(IQUB)
NM_178826	ANO4	Homo sapiens	anoctamin 4(ANO4)
NM_178824	WDR49	Homo sapiens	WD repeat domain 49(WDR49)
NM_178829	LLCFC1	Homo sapiens	LLLL and CFNLAS motif containing 1(LLCFC1)
NM_178828	SPATA31E1	Homo sapiens	SPATA31 subfamily E member 1(SPATA31E1)
NM_130898	CREB3L4	Homo sapiens	cAMP responsive element binding protein 3 like 4(CREB3L4)
NM_130897	DYNLRB2	Homo sapiens	dynein light chain roadblock-type 2(DYNLRB2)
NM_139235	NOL6	Homo sapiens	nucleolar protein 6(NOL6)
NM_139239	NFKBID	Homo sapiens	NFKB inhibitor delta(NFKBID)
NM_139244	STXBP5	Homo sapiens	syntaxin binding protein 5(STXBP5)
NM_139243	ADAD1	Homo sapiens	adenosine deaminase domain containing 1(ADAD1)
NM_139242	MTFMT	Homo sapiens	mitochondrial methionyl-tRNA formyltransferase(MTFMT)
NM_139241	FGD4	Homo sapiens	FYVE, RhoGEF and PH domain containing 4(FGD4)
NM_139248	LIPH	Homo sapiens	lipase H(LIPH)
NM_139247	ADCY4	Homo sapiens	adenylate cyclase 4(ADCY4)
NM_139246	TSTD2	Homo sapiens	thiosulfate sulfurtransferase like domain containing 2(TSTD2)
NM_139245	PPM1L	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1L(PPM1L)
NM_139240	C1orf105	Homo sapiens	chromosome 1 open reading frame 105(C1orf105)
NM_130830	LRRC15	Homo sapiens	leucine rich repeat containing 15(LRRC15)
NM_130837	OPA1	Homo sapiens	OPA1 mitochondrial dynamin like GTPase(OPA1)
NM_130836	OPA1	Homo sapiens	OPA1 mitochondrial dynamin like GTPase(OPA1)
NM_130835	OPA1	Homo sapiens	OPA1 mitochondrial dynamin like GTPase(OPA1)
NM_130834	OPA1	Homo sapiens	OPA1 mitochondrial dynamin like GTPase(OPA1)
NM_130833	OPA1	Homo sapiens	OPA1 mitochondrial dynamin like GTPase(OPA1)
NM_130832	OPA1	Homo sapiens	OPA1 mitochondrial dynamin like GTPase(OPA1)
NM_130831	OPA1	Homo sapiens	OPA1 mitochondrial dynamin like GTPase(OPA1)
NM_130839	UBE3A	Homo sapiens	ubiquitin protein ligase E3A(UBE3A)
NM_130841	ATP6V0A4	Homo sapiens	ATPase H+ transporting V0 subunit a4(ATP6V0A4)
NM_130840	ATP6V0A4	Homo sapiens	ATPase H+ transporting V0 subunit a4(ATP6V0A4)
NM_130849	SLC39A4	Homo sapiens	solute carrier family 39 member 4(SLC39A4)
NM_130847	AMOTL1	Homo sapiens	angiomotin like 1(AMOTL1)
NM_130846	PTPRR	Homo sapiens	protein tyrosine phosphatase receptor type R(PTPRR)
NM_130844	WWOX	Homo sapiens	WW domain containing oxidoreductase(WWOX)
NM_130843	PTPRN2	Homo sapiens	protein tyrosine phosphatase receptor type N2(PTPRN2)
NM_130842	PTPRN2	Homo sapiens	protein tyrosine phosphatase receptor type N2(PTPRN2)
NM_130851	BMP4	Homo sapiens	bone morphogenetic protein 4(BMP4)
NM_130850	BMP4	Homo sapiens	bone morphogenetic protein 4(BMP4)
NM_032390	NIFK	Homo sapiens	nucleolar protein interacting with the FHA domain of MKI67(NIFK)
NM_130855	PTPRS	Homo sapiens	protein tyrosine phosphatase receptor type S(PTPRS)
NM_130854	PTPRS	Homo sapiens	protein tyrosine phosphatase receptor type S(PTPRS)
NM_130853	PTPRS	Homo sapiens	protein tyrosine phosphatase receptor type S(PTPRS)
NM_032391	PRAC1	Homo sapiens	PRAC1 small nuclear protein(PRAC1)
NM_032387	WNK4	Homo sapiens	WNK lysine deficient protein kinase 4(WNK4)
NM_032385	FAXDC2	Homo sapiens	fatty acid hydroxylase domain containing 2(FAXDC2)
NM_032389	ARFGAP2	Homo sapiens	ARF GTPase activating protein 2(ARFGAP2)
NM_001082487	ACD	Homo sapiens	ACD shelterin complex subunit and telomerase recruitment factor(ACD)
NM_001082488	DHRS4L1	Homo sapiens	dehydrogenase/reductase 4 like 1 (pseudogene)(DHRS4L1)
NM_001082486	ACD	Homo sapiens	ACD shelterin complex subunit and telomerase recruitment factor(ACD)
NM_001082480	ZNF623	Homo sapiens	zinc finger protein 623(ZNF623)
NM_139202	MLC1	Homo sapiens	modulator of VRAC current 1(MLC1)
NM_139201	GIT2	Homo sapiens	GIT ArfGAP 2(GIT2)
NM_032493	AP1M1	Homo sapiens	adaptor related protein complex 1 subunit mu 1(AP1M1)
NM_032492	JAGN1	Homo sapiens	jagunal homolog 1(JAGN1)
NM_032491	RFX4	Homo sapiens	regulatory factor X4(RFX4)
NM_032490	GON7	Homo sapiens	GON7 subunit of KEOPS complex(GON7)
NM_032486	DCTN5	Homo sapiens	dynactin subunit 5(DCTN5)
NM_032485	MCM8	Homo sapiens	minichromosome maintenance 8 homologous recombination repair factor(MCM8)
NM_032484	GHDC	Homo sapiens	GH3 domain containing(GHDC)
NM_032483	PLPP5	Homo sapiens	phospholipid phosphatase 5(PLPP5)
NM_032489	ACRBP	Homo sapiens	acrosin binding protein(ACRBP)
NM_032488	CNFN	Homo sapiens	cornifelin(CNFN)
NM_032487	ACTRT3	Homo sapiens	actin related protein T3(ACTRT3)
NM_130804	MEN1	Homo sapiens	menin 1(MEN1)
NM_130803	MEN1	Homo sapiens	menin 1(MEN1)
NM_130802	MEN1	Homo sapiens	menin 1(MEN1)
NM_130801	MEN1	Homo sapiens	menin 1(MEN1)
NM_130800	MEN1	Homo sapiens	menin 1(MEN1)
NM_032497	ZNF559	Homo sapiens	zinc finger protein 559(ZNF559)
NM_032496	ARHGAP9	Homo sapiens	Rho GTPase activating protein 9(ARHGAP9)
NM_032495	HOPX	Homo sapiens	HOP homeobox(HOPX)
NM_032494	ZC3H8	Homo sapiens	zinc finger CCCH-type containing 8(ZC3H8)
NM_130809	PRRC1	Homo sapiens	proline rich coiled-coil 1(PRRC1)
NM_130808	CPNE4	Homo sapiens	copine 4(CPNE4)
NM_032499	CDIN1	Homo sapiens	CDAN1 interacting nuclease 1(CDIN1)
NM_130807	MOB3A	Homo sapiens	MOB kinase activator 3A(MOB3A)
NM_032498	RHOXF2	Homo sapiens	Rhox homeobox family member 2(RHOXF2)
NM_130806	RXFP2	Homo sapiens	relaxin family peptide receptor 2(RXFP2)
NM_044472	CDC42	Homo sapiens	cell division cycle 42(CDC42)
NM_001143999	SEC14L1	Homo sapiens	SEC14 like lipid binding 1(SEC14L1)
NM_001143998	SEC14L1	Homo sapiens	SEC14 like lipid binding 1(SEC14L1)
NM_001143997	OGDHL	Homo sapiens	oxoglutarate dehydrogenase L(OGDHL)
NM_020485	RHCE	Homo sapiens	Rh blood group CcEe antigens(RHCE)
NM_001143992	WRAP53	Homo sapiens	WD repeat containing antisense to TP53(WRAP53)
NM_001143991	WRAP53	Homo sapiens	WD repeat containing antisense to TP53(WRAP53)
NM_001143990	WRAP53	Homo sapiens	WD repeat containing antisense to TP53(WRAP53)
NM_032471	PKIB	Homo sapiens	cAMP-dependent protein kinase inhibitor beta(PKIB)
NM_001143996	OGDHL	Homo sapiens	oxoglutarate dehydrogenase L(OGDHL)
NM_130811	SNAP25	Homo sapiens	synaptosome associated protein 25(SNAP25)
NM_032470	TNXB	Homo sapiens	tenascin XB(TNXB)
NM_001143995	LPXN	Homo sapiens	leupaxin(LPXN)
NM_001143994	RASSF7	Homo sapiens	Ras association domain family member 7(RASSF7)
NM_130810	DNAAF4	Homo sapiens	dynein axonemal assembly factor 4(DNAAF4)
NM_001143993	RASSF7	Homo sapiens	Ras association domain family member 7(RASSF7)
NM_032464	LAT2	Homo sapiens	linker for activation of T cells family member 2(LAT2)
NM_032463	LAT2	Homo sapiens	linker for activation of T cells family member 2(LAT2)
NM_032468	ASPH	Homo sapiens	aspartate beta-hydroxylase(ASPH)
NM_032467	ASPH	Homo sapiens	aspartate beta-hydroxylase(ASPH)
NM_032466	ASPH	Homo sapiens	aspartate beta-hydroxylase(ASPH)
NM_032482	DOT1L	Homo sapiens	DOT1 like histone lysine methyltransferase(DOT1L)
NM_032472	PPIL3	Homo sapiens	peptidylprolyl isomerase like 3(PPIL3)
NM_032479	MRPL36	Homo sapiens	mitochondrial ribosomal protein L36(MRPL36)
NM_032478	MRPL38	Homo sapiens	mitochondrial ribosomal protein L38(MRPL38)
NM_032477	MRPL41	Homo sapiens	mitochondrial ribosomal protein L41(MRPL41)
NM_032476	MRPS6	Homo sapiens	mitochondrial ribosomal protein S6(MRPS6)
NM_001143978	ZCCHC18	Homo sapiens	zinc finger CCHC-type containing 18(ZCCHC18)
NM_020464	NHSL1	Homo sapiens	NHS like 1(NHSL1)
NM_020465	NDRG4	Homo sapiens	NDRG family member 4(NDRG4)
NM_001143976	WEE1	Homo sapiens	WEE1 G2 checkpoint kinase(WEE1)
NM_020466	LYRM2	Homo sapiens	LYR motif containing 2(LYRM2)
NM_001143975	UBTFL1	Homo sapiens	upstream binding transcription factor like 1(UBTFL1)
NM_020461	TUBGCP6	Homo sapiens	tubulin gamma complex component 6(TUBGCP6)
NM_020463	PPP4R3B	Homo sapiens	protein phosphatase 4 regulatory subunit 3B(PPP4R3B)
NM_001143970	CDYL	Homo sapiens	chromodomain Y like(CDYL)
NM_001143974	ASAH2	Homo sapiens	N-acylsphingosine amidohydrolase 2(ASAH2)
NM_020468	SNX14	Homo sapiens	sorting nexin 14(SNX14)
NM_020469	ABO	Homo sapiens	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase(ABO)
NM_001143973	TCTN3	Homo sapiens	tectonic family member 3(TCTN3)
NM_001143971	CDYL	Homo sapiens	chromodomain Y like(CDYL)
NM_032442	NEURL4	Homo sapiens	neuralized E3 ubiquitin protein ligase 4(NEURL4)
NM_032440	LCOR	Homo sapiens	ligand dependent nuclear receptor corepressor(LCOR)
NM_032446	MEGF10	Homo sapiens	multiple EGF like domains 10(MEGF10)
NM_032445	MEGF11	Homo sapiens	multiple EGF like domains 11(MEGF11)
NM_032444	SLX4	Homo sapiens	SLX4 structure-specific endonuclease subunit(SLX4)
NM_032449	CC2D1B	Homo sapiens	coiled-coil and C2 domain containing 1B(CC2D1B)
NM_032448	FAM120B	Homo sapiens	family with sequence similarity 120 member B(FAM120B)
NM_020470	YIF1A	Homo sapiens	Yip1 interacting factor homolog A, membrane trafficking protein(YIF1A)
NM_032447	FBN3	Homo sapiens	fibrillin 3(FBN3)
NM_020475	ANK1	Homo sapiens	ankyrin 1(ANK1)
NM_001143989	NBPF4	Homo sapiens	NBPF member 4(NBPF4)
NM_020476	ANK1	Homo sapiens	ankyrin 1(ANK1)
NM_001143988	NBPF6	Homo sapiens	NBPF member 6(NBPF6)
NM_020477	ANK1	Homo sapiens	ankyrin 1(ANK1)
NM_001143987	NBPF6	Homo sapiens	NBPF member 6(NBPF6)
NM_020478	ANK1	Homo sapiens	ankyrin 1(ANK1)
NM_001143986	TLE6	Homo sapiens	TLE family member 6, subcortical maternal complex member(TLE6)
NM_020473	PIGA	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class A(PIGA)
NM_020474	GALNT1	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 1(GALNT1)
NM_001143981	CHRDL1	Homo sapiens	chordin like 1(CHRDL1)
NM_001143980	CCDC154	Homo sapiens	coiled-coil domain containing 154(CCDC154)
NM_001143985	BANF1	Homo sapiens	barrier to autointegration nuclear assembly factor 1(BANF1)
NM_001143984	PTPMT1	Homo sapiens	protein tyrosine phosphatase mitochondrial 1(PTPMT1)
NM_001143983	CHRDL1	Homo sapiens	chordin like 1(CHRDL1)
NM_001143982	CHRDL1	Homo sapiens	chordin like 1(CHRDL1)
NM_032453	ZNF527	Homo sapiens	zinc finger protein 527(ZNF527)
NM_032452	JPH4	Homo sapiens	junctophilin 4(JPH4)
NM_032451	SPIRE2	Homo sapiens	spire type actin nucleation factor 2(SPIRE2)
NM_032450	MROH1	Homo sapiens	maestro heat like repeat family member 1(MROH1)
NM_032457	PCDH7	Homo sapiens	protocadherin 7(PCDH7)
NM_032454	STK19	Homo sapiens	serine/threonine kinase 19(STK19)
NM_020480	ANK1	Homo sapiens	ankyrin 1(ANK1)
NM_032459	EFS	Homo sapiens	embryonal Fyn-associated substrate(EFS)
NM_032458	PHF6	Homo sapiens	PHD finger protein 6(PHF6)
NM_020442	VARS2	Homo sapiens	valyl-tRNA synthetase 2, mitochondrial(VARS2)
NM_020443	NAV1	Homo sapiens	neuron navigator 1(NAV1)
NM_020444	KIAA1191	Homo sapiens	KIAA1191(KIAA1191)
NM_020445	ACTR3B	Homo sapiens	actin related protein 3B(ACTR3B)
NM_001143959	C2orf74	Homo sapiens	chromosome 2 open reading frame 74(C2orf74)
NM_020440	PTGFRN	Homo sapiens	prostaglandin F2 receptor inhibitor(PTGFRN)
NM_001143958	TMEM30A	Homo sapiens	transmembrane protein 30A(TMEM30A)
NM_001143957	GPR63	Homo sapiens	G protein-coupled receptor 63(GPR63)
NM_020441	CORO1B	Homo sapiens	coronin 1B(CORO1B)
NM_020447	FAM219B	Homo sapiens	family with sequence similarity 219 member B(FAM219B)
NM_020448	NIPAL3	Homo sapiens	NIPA like domain containing 3(NIPAL3)
NM_001128324	ZFAND4	Homo sapiens	zinc finger AN1-type containing 4(ZFAND4)
NM_032420	PCDH1	Homo sapiens	protocadherin 1(PCDH1)
NM_001128325	SPON2	Homo sapiens	spondin 2(SPON2)
NM_032424	MSANTD4	Homo sapiens	Myb/SANT DNA binding domain containing 4 with coiled-coils(MSANTD4)
NM_032423	ZNF528	Homo sapiens	zinc finger protein 528(ZNF528)
NM_032421	CLIP2	Homo sapiens	CAP-Gly domain containing linker protein 2(CLIP2)
NM_032427	MAML2	Homo sapiens	mastermind like transcriptional coactivator 2(MAML2)
NM_032425	HHIPL1	Homo sapiens	HHIP like 1(HHIPL1)
NM_032429	LZTS2	Homo sapiens	leucine zipper tumor suppressor 2(LZTS2)
NM_020453	ATP10D	Homo sapiens	ATPase phospholipid transporting 10D (putative)(ATP10D)
NM_001143967	EFCAB8	Homo sapiens	EF-hand calcium binding domain 8(EFCAB8)
NM_001143966	TBC1D7	Homo sapiens	TBC1 domain family member 7(TBC1D7)
NM_001143965	TBC1D7	Homo sapiens	TBC1 domain family member 7(TBC1D7)
NM_020455	ADGRG6	Homo sapiens	adhesion G protein-coupled receptor G6(ADGRG6)
NM_001143964	TBC1D7	Homo sapiens	TBC1 domain family member 7(TBC1D7)
NM_020456	SPRYD7	Homo sapiens	SPRY domain containing 7(SPRYD7)
NM_020451	SELENON	Homo sapiens	selenoprotein N(SELENON)
NM_020452	ATP8B2	Homo sapiens	ATPase phospholipid transporting 8B2(ATP8B2)
NM_001143968	ARL5C	Homo sapiens	ARF like GTPase 5C(ARL5C)
NM_001143963	L1CAM	Homo sapiens	L1 cell adhesion molecule(L1CAM)
NM_020457	THAP11	Homo sapiens	THAP domain containing 11(THAP11)
NM_020458	TTC7A	Homo sapiens	tetratricopeptide repeat domain 7A(TTC7A)
NM_001143962	CAPN8	Homo sapiens	calpain 8(CAPN8)
NM_020459	PAIP2B	Homo sapiens	poly(A) binding protein interacting protein 2B(PAIP2B)
NM_001143960	C2orf74	Homo sapiens	chromosome 2 open reading frame 74(C2orf74)
NM_032431	SYVN1	Homo sapiens	synoviolin 1(SYVN1)
NM_032430	BRSK1	Homo sapiens	BR serine/threonine kinase 1(BRSK1)
NM_032435	MAP3K21	Homo sapiens	mitogen-activated protein kinase kinase kinase 21(MAP3K21)
NM_032434	ZNF512	Homo sapiens	zinc finger protein 512(ZNF512)
NM_032433	ZNF333	Homo sapiens	zinc finger protein 333(ZNF333)
NM_032432	ABLIM2	Homo sapiens	actin binding LIM protein family member 2(ABLIM2)
NM_032439	PHYHIPL	Homo sapiens	phytanoyl-CoA 2-hydroxylase interacting protein like(PHYHIPL)
NM_032438	L3MBTL3	Homo sapiens	L3MBTL histone methyl-lysine binding protein 3(L3MBTL3)
NM_032437	EFCAB7	Homo sapiens	EF-hand calcium binding domain 7(EFCAB7)
NM_032436	CHAMP1	Homo sapiens	chromosome alignment maintaining phosphoprotein 1(CHAMP1)
NM_020421	ADCK1	Homo sapiens	aarF domain containing kinase 1(ADCK1)
NM_020422	LDAF1	Homo sapiens	lipid droplet assembly factor 1(LDAF1)
NM_020423	SCYL3	Homo sapiens	SCY1 like pseudokinase 3(SCYL3)
NM_213589	RAPH1	Homo sapiens	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1(RAPH1)
NM_001143938	ZNF534	Homo sapiens	zinc finger protein 534(ZNF534)
NM_001143937	PSMA1	Homo sapiens	proteasome 20S subunit alpha 1(PSMA1)
NM_001143936	C15orf61	Homo sapiens	chromosome 15 open reading frame 61(C15orf61)
NM_001143935	CROT	Homo sapiens	carnitine O-octanoyltransferase(CROT)
NM_020428	SLC44A2	Homo sapiens	solute carrier family 44 member 2 (CTL2 blood group)(SLC44A2)
NM_020429	SMURF1	Homo sapiens	SMAD specific E3 ubiquitin protein ligase 1(SMURF1)
NM_020424	LYRM1	Homo sapiens	LYR motif containing 1(LYRM1)
NM_020425	SMIM8	Homo sapiens	small integral membrane protein 8(SMIM8)
NM_001128302	LYRM1	Homo sapiens	LYR motif containing 1(LYRM1)
NM_001128301	LYRM1	Homo sapiens	LYR motif containing 1(LYRM1)
NM_020427	SLURP1	Homo sapiens	secreted LY6/PLAUR domain containing 1(SLURP1)
NM_201599	ZMYM3	Homo sapiens	zinc finger MYM-type containing 3(ZMYM3)
NM_001128304	PLSCR4	Homo sapiens	phospholipid scramblase 4(PLSCR4)
NM_001128303	LACC1	Homo sapiens	laccase domain containing 1(LACC1)
NM_201597	CACNB2	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)
NM_001128306	PLSCR4	Homo sapiens	phospholipid scramblase 4(PLSCR4)
NM_001128305	PLSCR4	Homo sapiens	phospholipid scramblase 4(PLSCR4)
NM_201598	EEF2KMT	Homo sapiens	eukaryotic elongation factor 2 lysine methyltransferase(EEF2KMT)
NM_032402	PCDHGC3	Homo sapiens	protocadherin gamma subfamily C, 3(PCDHGC3)
NM_001128309	TSPAN14	Homo sapiens	tetraspanin 14(TSPAN14)
NM_032406	PCDHGC4	Homo sapiens	protocadherin gamma subfamily C, 4(PCDHGC4)
NM_213590	TRIM13	Homo sapiens	tripartite motif containing 13(TRIM13)
NM_032405	TMPRSS3	Homo sapiens	transmembrane serine protease 3(TMPRSS3)
NM_213593	DIO1	Homo sapiens	iodothyronine deiodinase 1(DIO1)
NM_032403	PCDHGC3	Homo sapiens	protocadherin gamma subfamily C, 3(PCDHGC3)
NM_213595	ISCU	Homo sapiens	iron-sulfur cluster assembly enzyme(ISCU)
NM_213594	RFX4	Homo sapiens	regulatory factor X4(RFX4)
NM_032409	PINK1	Homo sapiens	PTEN induced kinase 1(PINK1)
NM_032408	BAZ1B	Homo sapiens	bromodomain adjacent to zinc finger domain 1B(BAZ1B)
NM_213597	KRBA2	Homo sapiens	KRAB-A domain containing 2(KRBA2)
NM_032407	PCDHGC5	Homo sapiens	protocadherin gamma subfamily C, 5(PCDHGC5)
NM_213596	FOXN4	Homo sapiens	forkhead box N4(FOXN4)
NM_001143945	GAS6	Homo sapiens	growth arrest specific 6(GAS6)
NM_020431	TMEM63C	Homo sapiens	transmembrane protein 63C(TMEM63C)
NM_020432	PHTF2	Homo sapiens	putative homeodomain transcription factor 2(PHTF2)
NM_001143944	LEMD2	Homo sapiens	LEM domain nuclear envelope protein 2(LEMD2)
NM_001143943	EFCAB2	Homo sapiens	EF-hand calcium binding domain 2(EFCAB2)
NM_020433	JPH2	Homo sapiens	junctophilin 2(JPH2)
NM_001143942	RBM24	Homo sapiens	RNA binding motif protein 24(RBM24)
NM_001143948	ADTRP	Homo sapiens	androgen dependent TFPI regulating protein(ADTRP)
NM_001143947	UNC93A	Homo sapiens	unc-93 homolog A(UNC93A)
NM_001143946	GAS6	Homo sapiens	growth arrest specific 6(GAS6)
NM_020439	CAMK1G	Homo sapiens	calcium/calmodulin dependent protein kinase IG(CAMK1G)
NM_020435	GJC2	Homo sapiens	gap junction protein gamma 2(GJC2)
NM_001143941	RBM24	Homo sapiens	RNA binding motif protein 24(RBM24)
NM_001128310	SPARCL1	Homo sapiens	SPARC like 1(SPARCL1)
NM_001143940	LGSN	Homo sapiens	lengsin, lens protein with glutamine synthetase domain(LGSN)
NM_020436	SALL4	Homo sapiens	spalt like transcription factor 4(SALL4)
NM_020437	ASPHD2	Homo sapiens	aspartate beta-hydroxylase domain containing 2(ASPHD2)
NM_020438	DOLPP1	Homo sapiens	dolichyldiphosphatase 1(DOLPP1)
NM_032413	C15orf48	Homo sapiens	chromosome 15 open reading frame 48(C15orf48)
NM_032412	CYSTM1	Homo sapiens	cysteine rich transmembrane module containing 1(CYSTM1)
NM_032411	ECRG4	Homo sapiens	ECRG4 augurin precursor(ECRG4)
NM_032410	HOOK3	Homo sapiens	hook microtubule tethering protein 3(HOOK3)
NM_032415	CARD11	Homo sapiens	caspase recruitment domain family member 11(CARD11)
NM_001143939	ZNF534	Homo sapiens	zinc finger protein 534(ZNF534)
NM_032414	PROK1	Homo sapiens	prokineticin 1(PROK1)
